npsn,nama_sekolah,alamat,kelurahan,kecamatan,kabupaten,provinsi,status,bentuk_pendidikan,jenjang,telepon,fax,email,website,operator
69812110,SMK YPAI RAHAYU,JL. Mahmud NO. 101,RAHAYU,Margaasih,Kab. Bandung,Jawa Barat,SWASTA,SMK,DIKMEN,02254410176,-,smkypairahayu01@gmail.com,http://smkypai-rahayu.sch.id,Siti hajar
69915320,SMK GALIH PUTERA INDONESIA,Kp. Pager Alam RT 01/01,PANGGALIH,Cisewu,Kab. Garut,Jawa Barat,SWASTA,SMK,DIKMEN,-,081316996230,smkgalihputeraindonesia@gmail.com,http://www.galihputera.sch.id,Nandang Suyatna
69915321,SMK GIRI BHAKTI INDONESIA,Kp. Pasir Jambu RT 03/01,GIRIMUKTI,Cisewu,Kab. Garut,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkgiribhakti27@gmail.com,http://smkgiribhakti.yabpi.or.id,NENDEN SITI MUNAWAROH
69905536,SMK IT BAITUL MA ARIF CISEWU,Jl. Cikarang RT 01/07 Desa. Cikarang,CIKARANG,Cisewu,Kab. Garut,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkitbaitulmaarif@gmail.com,http://smkitba.yn.lt,Hendrayana
20262129,SMKN 11 GARUT,JL. PURWABHAKTI NO. 24 CISEWU - GARUT 44166,CISEWU,Cisewu,Kab. Garut,Jawa Barat,NEGERI,SMK,DIKMEN,-,-,smknegri11garut2007@gmail.com,http://www.smkn11garut.sch.id,REZA NOVI KRISNANDI
69759027,SMKS BINA BAKTI BUNGBULANG,JL. CIBUNGUR DESA MEKARBAKTI BUNGBULANG,MEKARBAKTI,Bungbulang,Kab. Garut,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkbinabaktibungbulang68@gmail.com,-,Husni Mubarok
20279894,SMK AL HAMDANIYYAH PAKENJENG,KP. RAHAYU RT 01 RW 01,PASIRLANGU,Pakenjeng,Kab. Garut,Jawa Barat,SWASTA,SMK,DIKMEN,-,0262,smkalhamdaniyah@gmail.com,http://-www.smkalhamdaniyah@gmail.com,aap pradina sungkawa
69830474,SMK CENDEKIA BAITURRAHMAN PAKENJENG,KP.NANGKARUKA,PANYINDANGAN,Pakenjeng,Kab. Garut,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkcendekiabaiturrahman@gmail.com,-,Harlina Sopiah
69971847,SMKS ISLAMIC CENTRE PAKENJENG,KP. KADU DAMPIT RT.001 / RW 009,JATIWANGI,Pakenjeng,Kab. Garut,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smk.icpwbn@hmail.com,http://smkicpwbn.com,TASEP ADI NUGRAHA
20276132,SMKS PGRI 1 PAKENJENG,KP. TEGALGEDE RT 02 RW 01,TEGALGEDE,Pakenjeng,Kab. Garut,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkpgri1pakenjeng@gmail.com,-,Widia Rahmi Fauzi
69753551,SMKS PLUS PONTREN YABAFA PAKENJENG,JALAN CIKONENG- NEGLASARI,NEGLASARI,Pakenjeng,Kab. Garut,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,Smk_Yabafa@yahoo.com,http://smkyabafa.sch.id/,Aceng Engkab
69919132,SMK PGRI I HAURGEULIS,Jl. Jenderal Sudirman No. 06 Haurgeulis,SUMBERMULYA,Haurgeulis,Kab. Indramayu,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkspgri1haurgeulis@gmail.com,-,DEDE ISKANDAR
69957088,SMK REPUBLIK,Blok 6 RT 004 RW 005,WANAKAYA,Haurgeulis,Kab. Indramayu,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkrepublik@gmail.com,-,Suryadinata
