npsn,nama_sekolah,alamat,kelurahan,kecamatan,kabupaten,provinsi,status,bentuk_pendidikan,jenjang,telepon,fax,email,website,operator
20109165,SMKN 61 JAKARTA,JALAN PANTAI SELATAN NO. 1 PULAU TIDUNG.,PULAU TIDUNG,Kepulauan Seribu Selatan,Kab. Adm. Kep. Seribu,D.K.I. Jakarta,NEGERI,SMK,DIKMEN,-,-,smkn61dki@gmail.com,http://www.smkn61jakarta.sch.id,SUMARDI
20100140,SMK AL-IHSAN,JL. KEBON KACANG IX/57,KEBON KACANG,Tanah Abang,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,0213103313,-,smkalihsan57@gmail.com,-,Rita Dalisma
20109319,SMK Dental Asisten Sekesal Jakarta,JL.BENDUNGAN JATILUHUR NO.130,BENDUNGAN HILIR,Tanah Abang,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,0215736743,0215746194,smkdentalasisten2014@gmail.com,http://sekesaljakarta.sch.id,Waryono
20100132,SMK KRISTEN BETHEL,JL. KS TUBUN N0. 253 TANAH ABANG,PETAMBURAN,Tanah Abang,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,02153653733,02153653733,bethelsmks@gmail.com,http://smkkbethel.sch.id,Henny Rosita Sari
20108509,SMK MUHAMMADIYAH 5,JL. TAMAN BENDUNGAN JATILUHUR 18,BENDUNGAN HILIR,Tanah Abang,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,0215733335,0215733335,smkmuh5jkt@gmail.com,http://m5j.sch.id,Herlinah
20100151,SMK PGRI 31 JAKARTA,Jl.Sabeni No 12,KEBON MELATI,Tanah Abang,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,02122632178,02122632178,esemkapgri31@gmail.com,http://www.smkpgri31.sch.id,Dedi Kurniawan
20100160,SMKN 19 JAKARTA,JL. DANAU LIMBOTO NO. 11,BENDUNGAN HILIR,Tanah Abang,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,NEGERI,SMK,DIKMEN,0215734929,0215734929,smkn19jkt@gmail.com,http://www.smkn19jakarta.sch.id,Andi Ami
20100167,SMKN 38 JAKARTA,JL. KARET PASAR BARU TIMUR II,KARET TENGSIN,Tanah Abang,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,NEGERI,SMK,DIKMEN,2524381,0,smkn38jakpus@gmail.com,http://smkn38jakarta.sch.id,BAGUS ARISANTO
20100142,SMKS MUHAMMADIYAH 2 JAKARTA,JL. KH. MAS MANSYUR NO. 65,KEBON MELATI,Tanah Abang,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,0213922178,0213922178,smkm2jakarta@gmail.com,http://smkm2jakarta.sch.id,Tasman
20100118,SMKS SAID NAUM,JL. KH. MAS MANSYUR  NO.25,KEBON KACANG,Tanah Abang,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,21481271,21481271,saidnaum047@gmail.com,http://www.smkisn.sch.id,Fajar Syahputra
20108510,SMK JAYAWISATA 1,JL. TAMAN SUNDA KELAPA NO. 16 A,MENTENG,Menteng,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,0213107789,-,jawis1menteng@gmail.com,http://www.jawis1menteng.sch.id,Yoyok
20100300,SMK SANTA THERESIA,Jl. Gereja Theresia No. 4,GONDANGDIA,Menteng,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,0213907169,0213907169,smk@sttheresia-jkt.sch.id,http://www.sttheresia-jkt.sch.id,A. YOGO AGENG NUGROHO
20100295,SMK TAMAN SISWA 3,JL. MATRAMAN DALAM II/13,PEGANGSAAN,Menteng,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,021213392142,-,smktamansiswa35@gmail.com,-,M.ICHWAN NURDIN
20100159,SMKN 16 JAKARTA,JL. TAMAN AMIR HAMZAH MENTENG,MENTENG,Menteng,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,NEGERI,SMK,DIKMEN,0213904112,0213925243,info@smkn16jakarta.sch.id,http://smkn16jakarta.sch.id,Iwan Setiawan
20100306,SMKS AL MAKMUR,"JL. RADEN SALEH, CIKINI MENTENG",CIKINI,Menteng,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,0213920518,02131923640,smkalmamur@ymail.com,http://www.smkalmakmurjakpus.blogspot.com/,Solehan
20100286,SMKS YAPERMAS JAKARTA,JL. ANYER NO. 7,MENTENG,Menteng,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,02131930583,02131930583,smk_yapermas@yahoo.co.id,-,Jaenudin
20107254,SMK DITKESAD,JL. DR. ABDULRAHMAN SALEH NO 18,SENEN,Senen,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,0213456875,3456875,ditkesadsmf@gmail.com,https://smfkesad.sch.id,Moh.Rofiq
20100110,SMK KATOLIK SINT JOSEPH,JL. KRAMAT RAYA NO. 134,KENARI,Senen,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,02131904023,31904023,smksintjosh@gmail.com,http://smksintjoseph.net,Antonia Jessica
20100166,SMKN 34 JAKARTA,JL. KRAMAT RAYA NO. 93,PASEBAN,Senen,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,NEGERI,SMK,DIKMEN,0213909035,0213927963,smknjakarta34@gmail.com,http://smk34jkt.sch.id,-
20107255,SMKS FARMASI TUNAS BANGSA,SALEMBA TENGAH II NO.1,PASEBAN,Senen,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,02131925532,0213101243,smkf_tunasbangsa@yahoo.com,http://www.farmasitunasbangsa.sch.id,TIARA WIRDHA SYIAM
20100139,SMKS FRANCISKUS 2,"JL. KRAMAT RAYA, NO.67",KRAMAT,Senen,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,0213909254,0213907157,smk2_fransiskus@yahoo.co.id,-,Yeni Angelita
20100116,SMKS MUHAMMADIYAH 10 JAKARTA,JL. KRAMAT SAWAH BARU,SENEN,Senen,Kota Adm. Jakarta Pusat,D.K.I. Jakarta,SWASTA,SMK,DIKMEN,02131904549,-,Elimurlina73@yahoo.co.id,-,Elimurlina
