npsn,nama_sekolah,alamat,kelurahan,kecamatan,kabupaten,provinsi,status,bentuk_pendidikan,jenjang,telepon,fax,email,website,operator
70050637,SMK MUHAMMADIYAH 9 NANGGUNG,Kp. Cibeber Kaum RT 02 RW 07,CURUG BITUNG,Nanggung,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,-,-,Jaenuddin
69754780,SMKS CENDIKIA MUSLIM,JL RAYA ACE TABRANI KP LUKUT PARAKAN MUNCANG,PARAKAN MUNCANG,Nanggung,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,0,smkcendikia28@gmail.com,-,AWALUDIN
70034107,SMK IT CYBER GLOBAL ORENZ,Jl. Hegarsari No. 165 RT. 001 RW.002,CIBEBER II,Leuwiliang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,orenzmiftahulbarokah@gmail.com,http://https://pesantrenorenzmiftahulbarokah.com/,Eko Wahyudi Prasetyo
69896518,SMK IT HIDAYATUL FALAH,JL. MOH NOH NOER KM 11 KP GUNUNG PARIUK RT 01 RW 10,KARYASARI,Leuwiliang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkhidayatulfalah137@gmail.coM,http://www.facebook.com/smkithidayatulfalah,Muhammad Mukhsin Muzaki
70052792,SMK MATARDIKA,Kp. Cisarua RT.01 RW.06,PURASARI,Leuwiliang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,-,-,Asep Kusnadi
70040229,SMK STATIKA,"Jl. Raya Karehkel-Leuwiliang Km.03, Pabuaran",KAREHKEL,Leuwiliang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,-,-,SEPTI PRATIWI
20270736,SMKN 1 LEUWILIANG,Jl. Pabangbon,LEUWIMEKAR,Leuwiliang,Kab. Bogor,Jawa Barat,NEGERI,SMK,DIKMEN,02518645557,-,smkn1leuwiliang@gmail.com,http://www.smkn1leuwiliang.sch.id,IRMAN HERMANSYAH
69762769,SMKS AL HAFIDZ,JL. MOHAMMAD NOH NOOR DS.KARYASARI RT 04/01,KARYASARI,Leuwiliang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,-,-,smkalhafidz2013@gmail.com,http://smkalhafidz.sch.id,Muhammad Alwi Mahfud
69755802,SMKS BINA CENDIKIA,JL RAYA LEUWILIANG,BARENGKOK,Leuwiliang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518648384,02518648384,smk.bicen@gmail.com,http://www.smk.bicen@gmail.com,ARIF HIDAYATULLAH
20254258,SMKS INOVATIF,JL HEGARASA NO 1 KM. 07,KARYASARI,Leuwiliang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518648863,-,smkinovatif01@gmail.com,http://www.example.com,AOS SULAH
20200592,SMKS MANDALA,JL HEGARSARI LEUWILANG NO. 10 BOGOR,CIBEBER I,Leuwiliang,Kab. Bogor,Jawa Barat,SWASTA,SMK,DIKMEN,02518642231,0,smkmandala2014@gmail.com,http://www.smk.sch.id,YOGI HARDIANSYAH
